"Cultivar" "SowingD" "mean" "sd"
"Antas" 2015-06-24 89.3333333333333 3.50238014308365
"Antas" 2015-07-28 55 20.9666401695646
"Antas" 2015-09-15 61 16.4802912595621
"Antas" 2015-11-05 50 10.8811764069884
"Antas" 2016-02-17 48.3333333333333 13.7064461720267
"Antas" 2016-03-15 42.6666666666667 23.4833274189725
"Denmark" 2015-06-24 81.6666666666667 9.5008771524879
"Denmark" 2015-07-28 73.6666666666667 13.5302131049983
"Denmark" 2015-09-15 86.3333333333333 8.89194391945128
"Denmark" 2015-11-05 84.3333333333333 12.863384728238
"Denmark" 2016-02-17 68 9.63327566303384
"Denmark" 2016-03-15 86 5.3665631459995
"Leura" 2015-06-24 71 18.9631221058137
"Leura" 2015-07-28 71.3333333333333 16.9075919830905
"Leura" 2015-09-15 88.3333333333333 8.80151502110101
"Leura" 2015-11-05 80 11.933147112141
"Leura" 2016-02-17 63.3333333333333 15.2665211055652
"Leura" 2016-03-15 71 11.916375287813
"Monti" 2015-06-24 90 4.19523539268061
"Monti" 2015-07-28 87.3333333333333 4.84424056655599
"Monti" 2015-09-15 91.3333333333333 3.9327683210007
"Monti" 2015-11-05 73.3333333333333 16.1822948516787
"Monti" 2016-02-17 80 7.48331477354788
"Monti" 2016-03-15 95.3333333333333 4.13118223595458
"Narrikup" 2015-06-24 88.6666666666667 5.75036230742609
"Narrikup" 2015-07-28 48.3333333333333 14.5005747012547
"Narrikup" 2015-09-15 82.3333333333333 5.98887858172685
"Narrikup" 2015-11-05 73 10.4880884817015
"Narrikup" 2016-02-17 59.6666666666667 14.9888847706114
"Narrikup" 2016-03-15 64.3333333333333 20.8006410157636
"Woogenellup" 2015-06-24 85.6666666666667 4.27395211328656
"Woogenellup" 2015-07-28 56.6666666666667 24.80860065918
"Woogenellup" 2015-09-15 79 6.78232998312527
"Woogenellup" 2015-11-05 78 9.95991967839099
"Woogenellup" 2016-02-17 49.6666666666667 19.653668020669
"Woogenellup" 2016-03-15 50.3333333333333 17.9071680247511
