"Cultivar" "Variable" "SowTreat" "SowingD" "DAS50F" "TT50F"
"1" "Antas" "Bud" "S1" 2015-06-24 148.217171717172 1405.64261457423
"2" "Antas" "Bud" "S2" 2015-07-28 102.5 976.2796
"3" "Antas" "Bud" "S3" 2015-09-15 77.5833333333333 953.816291666667
"4" "Antas" "Bud" "S4" 2015-11-05 84.3333333333333 1268.28483333333
"5" "Antas" "Bud" "S5" 2015-12-15 NA NA
"6" "Antas" "Bud" "S6" 2016-02-17 0 0
"7" "Antas" "Bud" "S7" 2016-03-15 0 0
"8" "Antas" "Bud" "S8" 2016-05-04 0 0
"9" "Antas" "Bur" "S1" 2015-06-24 151.166666666667 1412.2275
"10" "Antas" "Bur" "S2" 2015-07-28 123.40625 1261.01871875
"11" "Antas" "Bur" "S3" 2015-09-15 97.4166666666667 1249.09725
"12" "Antas" "Bur" "S4" 2015-11-05 103.2 1611.5191
"13" "Antas" "Bur" "S5" 2015-12-15 144.5 2289.51675
"14" "Antas" "Bur" "S6" 2016-02-17 0 0
"15" "Antas" "Bur" "S7" 2016-03-15 0 0
"16" "Antas" "Bur" "S8" 2016-05-04 0 0
"17" "Antas" "Flowering" "S1" 2015-06-24 136.208333333333 1234.06954166667
"18" "Antas" "Flowering" "S2" 2015-07-28 102.928571428571 981.518714285714
"19" "Antas" "Flowering" "S3" 2015-09-15 80 989.474875
"20" "Antas" "Flowering" "S4" 2015-11-05 89.9375 1362.3959375
"21" "Antas" "Flowering" "S5" 2015-12-15 126.266666666667 2041.62723333333
"22" "Antas" "Flowering" "S6" 2016-02-17 0 0
"23" "Antas" "Flowering" "S7" 2016-03-15 0 0
"24" "Antas" "Flowering" "S8" 2016-05-04 0 0
"25" "Denmark" "Bud" "S1" 2015-06-24 127.068181818182 1128.20109247827
"26" "Denmark" "Bud" "S2" 2015-07-28 102.333333333333 975.447729166667
"27" "Denmark" "Bud" "S3" 2015-09-15 72.3942307692308 873.154653846154
"28" "Denmark" "Bud" "S4" 2015-11-05 102.952380952381 1593.26389285714
"29" "Denmark" "Bud" "S5" 2015-12-15 0 0
"30" "Denmark" "Bud" "S6" 2016-02-17 0 0
"31" "Denmark" "Bud" "S7" 2016-03-15 0 0
"32" "Denmark" "Bud" "S8" 2016-05-04 0 0
"33" "Denmark" "Bur" "S1" 2015-06-24 141.666666666667 1298.92933333333
"34" "Denmark" "Bur" "S2" 2015-07-28 120.875 1216.571375
"35" "Denmark" "Bur" "S3" 2015-09-15 91.4226190476191 1159.5377797619
"36" "Denmark" "Bur" "S4" 2015-11-05 106.704545454545 1681.12580681818
"37" "Denmark" "Bur" "S5" 2015-12-15 0 0
"38" "Denmark" "Bur" "S6" 2016-02-17 0 0
"39" "Denmark" "Bur" "S7" 2016-03-15 0 0
"40" "Denmark" "Bur" "S8" 2016-05-04 0 0
"41" "Denmark" "Flowering" "S1" 2015-06-24 132.375 1189.541
"42" "Denmark" "Flowering" "S2" 2015-07-28 105.5625 1013.37634375
"43" "Denmark" "Flowering" "S3" 2015-09-15 80.5 999.37675
"44" "Denmark" "Flowering" "S4" 2015-11-05 96.5 1480.9975
"45" "Denmark" "Flowering" "S5" 2015-12-15 NA NA
"46" "Denmark" "Flowering" "S6" 2016-02-17 NA NA
"47" "Denmark" "Flowering" "S7" 2016-03-15 0 0
"48" "Denmark" "Flowering" "S8" 2016-05-04 0 0
"49" "Leura" "Bud" "S1" 2015-06-24 135.5 1226.977804126
"50" "Leura" "Bud" "S2" 2015-07-28 103.375 987.4282109375
"51" "Leura" "Bud" "S3" 2015-09-15 81.75 1018.558875
"52" "Leura" "Bud" "S4" 2015-11-05 87.5875 1320.548503125
"53" "Leura" "Bud" "S5" 2015-12-15 0 0
"54" "Leura" "Bud" "S6" 2016-02-17 0 0
