"LocationYear" "AuthorYear" "YearExperiment" "Location" "Country" "Treatcultivar" "SowingDate" "StartFlowering" "PercentFlower" "DaysToFlower"
"1" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Dwang" 1965-02-17 1965-09-30 50 225
"2" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Geraldton" 1965-02-17 1965-09-30 50 225
"3" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Yarloop" 1965-02-17 1965-09-30 50 225
"4" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Burrelmedic" 1965-02-17 1965-09-30 50 225
"5" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Woogenellup" 1965-02-17 1965-10-15 50 240
"6" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Clare" 1965-02-17 1965-10-15 50 240
"7" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "MtBarker" 1965-02-17 1965-10-22 50 247
"8" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "EdenHope" 1965-02-17 1965-10-22 50 247
"9" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "BacchusM" 1965-02-17 1965-10-22 50 247
"10" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Kilmore" 1965-02-17 1965-10-22 50 247
"11" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Nangeela" 1965-02-17 1965-10-30 50 255
"12" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Derrinal" 1965-02-17 1965-10-30 50 255
"13" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Wenigup" 1965-02-17 1965-10-30 50 255
"14" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "TallarookvsWenig" 1965-02-17 1965-10-30 50 255
"15" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Boomerang" 1965-02-17 1965-10-30 50 255
"16" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Portugal294" 1965-02-17 1965-10-30 50 255
"17" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Bena" 1965-02-17 1965-11-15 50 271
"18" "Crowmwell1965" "Smetham1968" 1965 "Cromwell" "NZ" "Tallarook" 1965-02-17 1965-11-15 50 271
"19" NA "Aitken1955" 1952 "Melbourne" "AU" "Dwang" 1952-04-08 1952-09-16 NA 161
"20" NA "Aitken1955" 1952 "Melbourne" "AU" "Yarloop" 1952-04-08 1952-10-04 NA 179
"21" NA "Aitken1955" 1952 "Melbourne" "AU" "Clare" 1952-04-08 1952-10-06 NA 181
"22" NA "Aitken1955" 1952 "Melbourne" "AU" "BacchusM" 1952-04-08 1952-10-15 NA 190
"23" NA "Aitken1955" 1952 "Melbourne" "AU" "MtBarker" 1952-04-08 1952-11-03 NA 209
"24" NA "Aitken1955" 1952 "Melbourne" "AU" "Tallarook" 1952-04-08 1952-11-03 NA 209
"25" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Nungarin" 1987-05-03 1987-09-09 50 129
"26" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Dalkeith" 1987-05-03 1987-09-15 50 135
"27" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Trikkala" 1987-05-03 1987-09-21 50 141
"28" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Woogenellup" 1987-05-03 1987-09-25 50 145
"29" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Karridale" 1987-05-03 1987-10-04 50 154
"30" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Larisa" 1987-05-03 1987-10-08 50 158
"31" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Meteora" 1987-05-03 1987-10-14 50 164
"32" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "MtBarker" 1987-05-03 1987-10-04 50 154
"33" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Nungarin" 1990-05-03 1990-08-11 50 100
"34" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Dalkeith" 1990-05-03 1990-09-04 50 124
"35" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Trikkala" 1990-05-03 1990-09-06 50 126
"36" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Woogenellup" 1990-05-03 1990-09-13 50 133
"37" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Karridale" 1990-05-03 1990-09-29 50 149
"38" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Larisa" 1990-05-03 1990-10-04 50 154
"39" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Meteora" 1990-05-03 1990-10-08 50 158
"40" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "MtBarker" 1990-05-03 1990-09-30 50 150
"41" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Nungarin" 1987-06-03 1987-09-18 50 107
"42" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Dalkeith" 1987-06-03 1987-09-27 50 116
"43" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Trikkala" 1987-06-03 1987-10-06 50 125
"44" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Woogenellup" 1987-06-03 1987-10-04 50 123
"45" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Karridale" 1987-06-03 1987-10-20 50 139
"46" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Larisa" 1987-06-03 1987-10-22 50 141
"47" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Meteora" 1987-06-03 1987-10-27 50 146
"48" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "MtBarker" 1987-06-03 1987-10-20 50 139
"49" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Nungarin" 1990-06-03 1990-09-07 50 96
"50" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Dalkeith" 1990-06-03 1990-09-09 50 98
"51" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Trikkala" 1990-06-03 1990-09-13 50 102
"52" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Woogenellup" 1990-06-03 1990-09-30 50 119
"53" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Karridale" 1990-06-03 1990-10-05 50 124
"54" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Larisa" 1990-06-03 1990-10-12 50 131
"55" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Meteora" 1990-06-03 1990-10-15 50 134
"56" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "MtBarker" 1990-06-03 1990-10-06 50 125
"57" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Nungarin" 1987-07-03 1987-10-03 50 92
"58" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Dalkeith" 1987-07-03 1987-10-08 50 97
"59" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Trikkala" 1987-07-03 1987-10-17 50 106
"60" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Woogenellup" 1987-07-03 1987-10-20 50 109
"61" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Karridale" 1987-07-03 1987-10-30 50 119
"62" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Larisa" 1987-07-03 1987-11-02 50 122
"63" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Meteora" 1987-07-03 1987-11-05 50 125
"64" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "MtBarker" 1987-07-03 1987-11-02 50 122
"65" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Nungarin" 1990-06-03 1990-08-16 50 74
"66" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Dalkeith" 1990-06-03 1990-08-29 50 87
"67" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Trikkala" 1990-06-03 1990-08-28 50 86
"68" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Woogenellup" 1990-06-03 1990-09-10 50 99
"69" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Karridale" 1990-06-03 1990-09-18 50 107
"70" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Larisa" 1990-06-03 1990-09-22 50 111
"71" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Meteora" 1990-06-03 1990-09-26 50 115
"72" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "MtBarker" 1990-06-03 1990-09-21 50 110
"73" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Nungarin" 1987-08-01 1987-10-17 50 77
"74" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Dalkeith" 1987-08-01 1987-10-21 50 81
"75" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Trikkala" 1987-08-01 1987-10-29 50 89
"76" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Woogenellup" 1987-08-01 1987-11-03 50 94
"77" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Karridale" 1987-08-01 1987-11-09 50 100
"78" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Larisa" 1987-08-01 1987-11-11 50 102
"79" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "Meteora" 1987-08-01 1987-11-14 50 105
"80" "Launceston1987" "Evansetal1992" 1987 "Launceston" "AU" "MtBarker" 1987-08-01 1987-11-16 50 107
"81" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Nungarin" 1990-08-01 1990-10-08 50 68
"82" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Dalkeith" 1990-08-01 1990-10-11 50 71
"83" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Trikkala" 1990-08-01 1990-10-13 50 73
"84" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Woogenellup" 1990-08-01 1990-11-01 50 92
"85" "Katanning1990" "Evansetal1992" 1990 "Katanning" "AU" "Karridale" 1990-08-01 1990-11-04 50 95
